Need to create 150 person profiles

丁克订 (Đinh Khắc Định) | 越南农民协会副主席 | orgs: 
阮孟雄 (Nguyễn Mạnh Hùng) | 前任科学技术部部长 | orgs: 
阮廷康 (Nguyễn Đình Khang) | 部长 (Bộ trưởng) | orgs: , 
阮德才 (Nguyễn Đức Tài) | 董事会主席 | orgs: 
阮德池 (Nguyễn Đức Chi) | 副部长 (Thứ trưởng) | orgs: 
阮德胜 (Nguyen Duc Vinh) | 首席执行官（CEO） | orgs: 
阮文交 (Nguyễn Văn Gấu) | 国防部副部长 | orgs: 
阮文广 (Nguyễn Văn Quảng) | 首席大法官 (Chánh án) | orgs: 
阮文科 (Nguyễn Văn Khoa) | CEO | orgs: 
阮文胜 (Nguyễn Văn Sinh) | 副部长 | orgs: 
阮文胜 (Nguyễn Văn Thắng) | 政府副总理 | orgs: 
阮文龙 (Nguyễn Văn Long) | 公安部副部长 | orgs: 
阮新强 (Nguyễn Tân Cương) | 国防部副部长 | orgs: , 
阮明恒 (Nguyễn Minh Hằng) | 外交部副部长 (Thứ trưởng Bộ Ngoại giao) | orgs: 
阮明武 (Nguyễn Minh Vũ) | 外交部副部长 (Thứ trưởng Bộ Ngoại giao) | orgs: 
阮春兴 (Nguyễn Tuấn Hùng) | 常务副总社长 | orgs: 
阮智 (Nguyễn Tri Thức) | 副部长 | orgs: 
阮氏恒 (Nguyễn Thị Hằng) | 总经理 | orgs: 
阮氏权青 (Nguyễn Thị Quyên Thanh) | 教育培训部副部长 | orgs: 
阮氏碧玉 (Nguyễn Thị Bích Ngọc) | 副部长 (Thứ trưởng) | orgs: 
阮氏福林 (Nguyễn Thị Phúc Lâm) | 总经理 | orgs: 
阮氏秋河 (Nguyễn Thị Thu Hà) | 越南祖国阵线中央委员会秘书长 | orgs: 
阮氏红 (Nguyễn Thị Hồng) | 前行长（已离任） | orgs: , 
阮氏线 (Nguyễn Thị Tuyến) | 前越南妇女联合会主席 | orgs: 
阮氏芳草 (Nguyễn Thị Phương Thảo) | 董事会主席 | orgs: 
阮氏莲香 (Nguyễn Thị Liên Hương) | 副部长 | orgs: 
阮氏青 (Nguyễn Thị Thanh) | 国会副主席 | orgs: 
阮氏青梅 (Nguyễn Thị Thanh Mai) | 校长 | orgs: 
阮海宁 (Nguyễn Hải Ninh) | 党中央办公厅主任（前任司法部部长） | orgs: 
阮清宇 (Nguyễn Thanh Tú) | 司法部副部长 | orgs: 
阮清玉 (Nguyễn Thanh Ngọc) | 司法部副部长 | orgs: 
阮清静 (Nguyễn Thanh Tịnh) | 司法部副部长 | orgs: 
阮玉林 (Nguyễn Ngọc Lâm) | 公安部副部长 | orgs: 
阮生日新 (Nguyễn Sinh Nhật Tân) | 副部长 (Thứ trưởng) | orgs: 
阮登光 (Nguyễn Đăng Quang) | Chairman | orgs: 
阮英丰 (Nguyen Anh Phong) | 主席 | orgs: 
阮英俊 (Nguyễn Anh Tuấn) | 边防部队政委 | orgs: , , 
阮越光 (Nguyễn Việt Quang) | CEO | orgs: 
阮辉进 (Nguyễn Huy Tiến) | 检察长 (Viện trưởng) | orgs: 
阮长胜 (Nguyễn Trường Thắng) | 国防部副部长 | orgs: 
阮陈孟中 (Nguyễn Trần Mạnh Trung) | 董事会成员兼总经理 | orgs: 
阮青松 (Nguyễn Thanh Tùng) | 董事会主席 | orgs: 
阮青林 (Nguyễn Thanh Lam) | 总局长 | orgs: 
阮黄河 (Nguyễn Hoàng Hải) | 副校长 | orgs: 
阮黄龙 (Nguyễn Hoàng Long) | 副部长 (Thứ trưởng) | orgs: 
陈兰芳 (Trần Lan Phương) | 越南妇女联合会第一副主席 | orgs: 
陈兴豪 (Trần Hưng Huy) | 董事会主席 | orgs: 
陈功和 (Trần Công Kha) | 董事会主席 (Chủ tịch HĐQT) | orgs: 
陈宏明 (Trần Hồng Minh) | 部长 | orgs: 
陈廷龙 (Trần Đình Long) | Chairman of the Board | orgs: 
陈明平 (Trần Minh Bình) | 董事会主席 | orgs: 
陈锦绣 (Trần Cẩm Tú) | 越共中央政治局委员、中央检查委员会主任 | orgs: 
陈青敏(Trần Thanh Mẫn) | 国会主席 | orgs: 
陶光长 (Đào Quang Trường) | 总经理 | orgs: 
陶德胜 (Tào Đức Thắng) | 成员理事会主席兼总经理 | orgs: 
高英俊 (Cao Anh Tuấn) | 副部长 (Thứ trưởng) | orgs: 
黄光廉 (Huỳnh Quang Liêm) | 总经理 (Tổng Giám đốc) | orgs: 
黄决胜 (Huỳnh Quyết Thắng) | 校长 | orgs: 
黄道强 (Hoàng Đạo Cương) | 副部长 (Thứ trưởng) | orgs: 
黄青松 (Hoàng Thanh Tùng) | 司法部部长 | orgs: 
黎光孟 (Lê Quang Mạnh) | 国会秘书长 | orgs: 
黎光平 (Lê Quang Bình) | 董事会主席 | orgs: 
黎光荣 (Lê Quang Vinh) | 总经理（CEO） | orgs: 
黎光道 (Lê Quang Đạo) | 海警司令 | orgs: 
黎军 (Lê Quân) | 教育培训部副部长 | orgs: 
黎孟雄 (Lê Mạnh Hùng) | 部长 (Bộ trưởng) | orgs: , 
黎当容 (Lê Đăng Dung) | 前主席兼总经理 | orgs: 
黎德泰 (Lê Đức Thái) | 边防部队司令 | orgs: 
黎德论 (Lê Đức Luận) | 副部长 | orgs: 
黎怀忠 (Lê Hoài Trung) | 外交部部长 (Bộ trưởng Bộ Ngoại giao) | orgs: 
黎文欢 (Lê Văn Hoan) | 董事会主席 | orgs: 
黎文进 (Lê Văn Tuyến) | 公安部副部长 | orgs: 
黎明兴 (Lê Minh Hưng) | 政府总理 | orgs: , 
黎明兴(Lê Minh Hưng) | 政府总理 | orgs: 
黎春定 (Lê Xuân Định) | 科学技术部副部长 | orgs: 
黎晋谨 (Lê Tấn Cận) | 副部长 (Thứ trưởng) | orgs: 
黎氏周四 (Lê Thị Thu Hằng) | 外交部副部长 (Thứ trưởng Bộ Ngoại giao) | orgs: 
黎氏水 (Lê Thị Thủy) | 越南妇女联合会中央党委书记、主席 | orgs: 
黎清兴 (Lê Thanh Hưng) | 总经理 (Tổng Giám đốc) | orgs: 
黎玉山 (Lê Ngọc Sơn) | 成员理事会主席兼总经理 | orgs: 
黎玉林 (Lê Ngọc Lâm) | 总经理（CEO） | orgs: 
黎英俊 (Lê Anh Tuấn) | 外交部副部长 (Thứ trưởng Bộ Ngoại giao) | orgs: 
黎鸿明 (Lê Hồng Minh) | 创始人兼首席执行官 | orgs: 
